file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00018_01962.400-01963.450,ཧ་ཅང་བརྟུན་ཏེ་ ,ha cang brtun te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01962.400-01963.450.wav,STT_TT,3,15,1.0499999999999543,wav16k/STT_TT00018_01962.400-01963.450.wav,ཧ་ཅང་བསྟུན་ཏེ་
STT_TT00018_01963.750-01965.000,ཧ་ཅང་བརྟུན་ངས་ཏེ་ ,ha cang brtun ngas te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01963.750-01965.000.wav,STT_TT,3,18,1.25,wav16k/STT_TT00018_01963.750-01965.000.wav,ཧ་ཅང་བརྟུན་ངས་ཏེ།
STT_TT00018_01965.750-01967.750,ཧ་ཅང་བརྟུན་ངས་ཏེ་རྩོལ་བ་དྲགས་པ་དང་ ,ha cang brtun ngas te rtsol ba drags pa dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01965.750-01967.750.wav,STT_TT,3,35,2.0,wav16k/STT_TT00018_01965.750-01967.750.wav,ཧ་ཅང་སྟོན་ངས་ཏེ་རྩོལ་བ་དྲག་པ་དང་
STT_TT00018_01968.050-01973.350,ཧ་ཅང་ལྷོད་པ་གཉིས་ཀ་སྤངས་ནས་ཆུ་བོའི་རྒྱུན་བཞིན་དུ་ན་རེ་བ་ཞིག་དགོས་ཏེ། དཔལ་ལྡན་མ་ཁོལ་གྱིས།  ,ha cang lhod pa gnyis ka spangs nas chu bo'i rgyun bzhin du na re ba zhig dgos te/_dpal ldan ma khol gyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01968.050-01973.350.wav,STT_TT,3,90,5.2999999999999545,wav16k/STT_TT00018_01968.050-01973.350.wav,ཧ་ཅང་ལྷོད་པ་གཉིས་ཀ་སྤངས་ཏེ་ཆུ་བོའི་རྒྱུན་བཞིན་དུ་ན་རེ་བ་ཅིག་དགོས་ཏེ། དཔལ་ལྡན་མ་ཁོལ་གྱིས།
STT_TT00018_01975.000-01978.600,ཁྱད་པར་འཕགས་པར་བགྱི་བ་ལ། ཁྱོད་ལ་ཐང་ལྷོད་འགའ་མ་བྱུང་། དེ་སླད་ཁྱོད་ཀྱི་ཁྱད་པར་རྣམས།  ,khyad par 'phags par bgyi ba la/_khyod la thang lhod 'ga' ma byung /_de slad khyod kyi khyad par rnams/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01975.000-01978.600.wav,STT_TT,3,83,3.599999999999909,wav16k/STT_TT00018_01975.000-01978.600.wav,ཁྱད་པར་འཕགས་པར་བགྱི་བ་ལ། ཁྱོད་ལ་དང་བལོན་འགག་མ་བྱུང་། དེ་སླད་ཁྱོད་ཀྱིས་ཁྱད་པར་
STT_TT00018_01979.700-01983.350,ཐོག་དྲུང་རིམ་པ་དབྱེར་མ་མཆིས། ཞེས་སོ། པོ་ཏོ་བའི་ཞལ་ནས་ཀྱང་།  ,thog drung rim pa dbyer ma mchis/_zhes so/_po to ba'i zhal nas kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01979.700-01983.350.wav,STT_TT,3,60,3.649999999999864,wav16k/STT_TT00018_01979.700-01983.350.wav,ཐོག་དྲུང་རིམ་པར་དབྱེར་མ་མཆིས། ཞེས་སོ། པོ་ཏོ་བའི་ཞལ་ནས་ཀྱང་།
STT_TT00018_01984.100-01986.700,སེ་མོ་གྲུ་པའི་ར་མདའ་ལྟ། ར་མདའ་ལྟ་བུས་མི་འོང་།  ,se mo gru pa'i ra mda' lta/_ra mda' lta bus mi 'ong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01984.100-01986.700.wav,STT_TT,3,47,2.6000000000001364,wav16k/STT_TT00018_01984.100-01986.700.wav,སེར་མོ་གྲུབ་པའི་ར་མདའ་ལྟར། ར་མདའ་ལྟ་བུས་མི་འོང་།
STT_TT00018_01987.200-01988.300,བྱང་པའི་ར་མདའ་ ,byang pa'i ra mda' _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01987.200-01988.300.wav,STT_TT,3,15,1.099999999999909,wav16k/STT_TT00018_01987.200-01988.300.wav,བྱང་པའི་རང་མདའ་
STT_TT00018_01989.750-01992.500,ཨ། དང་པོ་སོས་བདལ་ནས་ཇག་པ་མ་སླེབ་བར་ ,a/_dang po sos bdal nas jag pa ma sleb bar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01989.750-01992.500.wav,STT_TT,3,36,2.75,wav16k/STT_TT00018_01989.750-01992.500.wav,ཨ། དང་པོ་སོས་དད་ནས་ཇག་པ་མ་སླེབས་བར་
STT_TT00018_01993.400-01995.850,དེ་བཞིན་དུ་སོས་བདལ་ཡུན་བསྲིངས་ནས་བྱེད་དགོས།  ,de bzhin du sos bdal yun bsrings nas byed dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01993.400-01995.850.wav,STT_TT,3,45,2.449999999999818,wav16k/STT_TT00018_01993.400-01995.850.wav,དེ་བཞིན་དུ་སོད་དལ་ཡུན་བསྲིངས་ནས་བྱེད་དགོས།
STT_TT00018_01996.200-01999.100,དཔེར་ན་ཤིག་གིས་སོས་བདལ་ནས་མ་བསྡད་པར་ཕྱིན་པས་མྱུར་དུ་ཕྱིན།  ,dper na shig gis sos bdal nas ma bsdad par phyin pas myur du phyin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01996.200-01999.100.wav,STT_TT,3,59,2.899999999999864,wav16k/STT_TT00018_01996.200-01999.100.wav,དཔེར་ན་ཤིག་གིས་སོས་བརྡད་ནས་མ་བསྡད་པར་ཕྱིན་པས་མྱུར་དུ་མཆིས།
STT_TT00018_01999.500-02000.150,ལྗི་བས་ ,lji bas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_01999.500-02000.150.wav,STT_TT,3,8,0.650000000000091,wav16k/STT_TT00018_01999.500-02000.150.wav,ལྗི་བས་
STT_TT00018_02000.500-02002.900,ཐེབས་རེ་མཆོངས་ཤིང་བསྡད་པས་མ་ཕྱིན་པ་ལྟ་བུའོ།  ,thebs re mchongs shing bsdad pas ma phyin pa lta bu'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_02000.500-02002.900.wav,STT_TT,3,45,2.400000000000091,wav16k/STT_TT00018_02000.500-02002.900.wav,ཐེབས་རེ་མཆོངས་ཤིང་བསྡད་པས་མ་ཕྱིན་པ་ལྟ་བུ་
STT_TT00018_02006.300-02007.050,ད་དེ་ནས་ ,da de nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00018_02006.300-02007.050.wav,STT_TT,3,9,0.75,wav16k/STT_TT00018_02006.300-02007.050.wav,ད་དེ་ནས།
